name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;905;0;882;3067;1219;3067;1035;0
header;111;151;111;194;1736;194;1736;151
A;917;221;917;249;938;249;938;221
D;950;401;950;428;977;428;977;401
C;951;732;951;749;970;749;970;732
B;912;886;912;914;932;914;932;886
B;1008;1049;1008;1067;1021;1067;1021;1049
A;990;1078;990;1078;990;1078;990;1078
A;931;1280;931;1282;931;1282;931;1280
C;908;1557;908;1585;929;1585;929;1557
D;907;2224;907;2252;930;2252;930;2224
A;907;2292;907;2292;908;2292;908;2292
A;951;2628;951;2630;952;2630;952;2628
A;910;2922;910;2922;910;2922;910;2922
A;1168;2957;1168;2957;1169;2957;1169;2957
