name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;844;0;1097;3059;1869;3059;1617;0
header;255;194;255;229;1891;229;1891;194
A;1054;258;1054;287;1078;287;1078;258
A;1640;553;1640;563;1647;563;1647;553
A;1382;589;1382;595;1388;595;1388;589
A;1410;589;1410;605;1418;605;1418;589
A;1170;684;1170;700;1177;700;1177;684
B;1609;774;1609;790;1617;790;1617;774
B;1058;931;1058;958;1078;958;1078;931
A;1422;1283;1422;1290;1428;1290;1428;1283
A;1603;1329;1603;1344;1611;1344;1611;1329
B;1161;1422;1161;1438;1170;1438;1170;1422
C;1054;1600;1054;1630;1076;1630;1076;1600
B;1430;2111;1430;2129;1439;2129;1439;2111
A;1635;2121;1635;2132;1642;2132;1642;2121
B;1482;2250;1482;2267;1492;2267;1492;2250
D;1057;2278;1057;2305;1078;2305;1078;2278
A;1794;2490;1794;2492;1796;2492;1796;2490
A;1593;2572;1593;2588;1601;2588;1601;2572
A;1540;2618;1540;2635;1549;2635;1549;2618
B;1202;2795;1202;2823;1220;2823;1220;2795
