name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;799;0;868;3061;1447;3061;1240;0
header;43;155;43;188;1672;188;1672;155
A;846;219;846;247;869;247;869;219
B;853;876;853;903;873;903;873;876
A;966;1004;966;1022;980;1022;980;1004
A;1123;1290;1123;1292;1125;1292;1125;1290
A;1075;1450;1075;1476;1096;1476;1096;1450
A;1051;1460;1051;1475;1059;1475;1059;1460
A;868;1509;868;1509;868;1509;868;1509
C;852;1548;852;1577;873;1577;873;1548
D;1131;1549;1131;1566;1140;1566;1140;1549
A;1010;1825;1010;1842;1018;1842;1018;1825
B;1018;1872;1018;1888;1028;1888;1028;1872
D;1256;2008;1256;2025;1266;2025;1266;2008
D;858;2219;858;2247;878;2247;878;2219
