name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;276;0;459;3055;1138;3055;1092;0
header;259;148;259;188;1887;188;1887;148
A;1064;219;1064;244;1087;244;1087;219
B;630;273;630;292;645;292;645;273
A;1012;322;1012;322;1012;322;1012;322
A;1024;404;1024;405;1024;405;1024;404
A;604;546;604;562;612;562;612;546
D;411;584;411;599;429;599;429;584
A;677;591;677;608;691;608;691;591
B;469;593;469;609;478;609;478;593
B;1069;889;1069;917;1090;917;1090;889
B;897;950;897;969;912;969;912;950
A;1079;1430;1079;1430;1079;1430;1079;1430
B;975;1545;975;1563;989;1563;989;1545
C;1076;1563;1076;1592;1096;1592;1096;1563
B;423;1728;423;1747;437;1747;437;1728
A;542;1766;542;1767;543;1767;543;1766
A;736;1861;736;1863;738;1863;738;1861
D;1084;2221;1084;2247;1105;2247;1105;2221
