name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;516;0;264;3057;1675;3057;1468;0
header;242;162;242;192;1870;192;1870;162
A;1042;228;1042;256;1067;256;1067;228
C;1298;372;1298;399;1319;399;1319;372
C;1159;373;1159;399;1176;399;1176;373
C;1335;373;1335;399;1354;399;1354;373
A;1298;790;1298;797;1305;797;1305;790
D;747;825;747;853;769;853;769;825
B;1051;894;1051;921;1072;921;1072;894
C;1308;1144;1308;1171;1328;1171;1328;1144
C;1165;1145;1165;1171;1183;1171;1183;1145
D;1275;1145;1275;1171;1295;1171;1295;1145
A;1310;1241;1310;1248;1317;1248;1317;1241
A;1045;1280;1045;1281;1047;1281;1047;1280
A;661;1423;661;1442;675;1442;675;1423
A;1233;1480;1233;1492;1240;1492;1240;1480
C;1051;1557;1051;1587;1073;1587;1073;1557
C;1307;1598;1307;1625;1325;1625;1325;1598
A;1211;1614;1211;1619;1245;1619;1245;1614
A;1149;1779;1149;1804;1164;1804;1164;1779
D;1061;2222;1061;2249;1083;2249;1083;2222
B;559;2850;559;2866;580;2866;580;2850
