name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;135;0;227;3051;1551;3051;1230;0
header;77;200;77;232;1717;232;1717;200
A;890;261;890;291;917;291;917;261
C;166;308;166;336;185;336;185;308
C;330;308;330;336;349;336;349;308
C;470;308;470;335;487;335;487;308
B;295;309;295;335;315;335;315;309
B;432;309;432;336;454;336;454;309
A;237;357;237;383;251;383;251;357
A;604;549;604;557;612;557;612;549
B;543;689;543;704;551;704;551;689
A;736;779;736;785;741;785;741;779
A;670;910;670;934;684;934;684;910
B;896;940;896;967;920;967;920;940
A;707;1001;707;1027;721;1027;721;1001
A;435;1333;435;1349;443;1349;443;1333
D;1229;1340;1229;1357;1237;1357;1237;1340
B;268;1383;268;1399;277;1399;277;1383
C;906;1625;906;1654;927;1654;927;1625
C;811;1689;811;1715;828;1715;828;1689
A;726;1837;726;1844;731;1844;731;1837
B;763;1876;763;1903;784;1903;784;1876
C;800;1876;800;1903;818;1903;818;1876
C;639;1878;639;1904;656;1904;656;1878
A;882;2160;882;2185;896;2185;896;2160
A;764;2161;764;2186;778;2186;778;2161
A;889;2261;889;2267;894;2267;894;2261
D;916;2302;916;2330;938;2330;938;2302
B;326;2482;326;2509;347;2509;347;2482
C;360;2483;360;2510;378;2510;378;2483
