name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;820;0;752;3053;1304;3053;1373;0
header;53;162;53;197;1664;197;1664;162
A;838;231;838;258;859;258;859;231
B;943;280;943;298;956;298;956;280
B;1245;282;1245;300;1259;300;1259;282
B;840;904;840;931;860;931;860;904
B;1006;1195;1006;1214;1021;1214;1021;1195
C;841;1573;841;1601;862;1601;862;1573
B;986;1607;986;1625;1000;1625;1000;1607
A;823;1991;823;2003;830;2003;830;1991
D;850;2217;850;2245;870;2245;870;2217
A;779;2528;779;2544;787;2544;787;2528
A;1189;2836;1189;2839;1192;2839;1192;2836
B;910;2852;910;2866;929;2866;929;2852
