name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;291;0;521;3069;1871;3069;1894;0
header;111;184;111;216;1887;216;1887;184
A;1061;247;1061;276;1082;276;1082;247
B;904;345;904;359;913;359;913;345
B;1059;916;1059;945;1078;945;1078;916
A;402;1353;402;1364;409;1364;409;1353
C;1045;1585;1045;1615;1069;1615;1069;1585
A;1690;1742;1690;1742;1690;1742;1690;1742
A;1730;1806;1730;1821;1738;1821;1738;1806
B;824;2251;824;2267;833;2267;833;2251
D;1044;2251;1044;2278;1064;2278;1064;2251
B;661;2294;661;2314;676;2314;676;2294
A;1584;2380;1584;2380;1584;2380;1584;2380
B;845;2386;845;2402;854;2402;854;2386
D;1437;2536;1437;2551;1445;2551;1445;2536
B;1671;2627;1671;2643;1679;2643;1679;2627
D;1172;2716;1172;2731;1180;2731;1180;2716
A;1590;2739;1590;2740;1591;2740;1591;2739
B;1644;2787;1644;2814;1664;2814;1664;2787
