name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;687;0;733;3055;1207;3055;1047;0
header;239;148;239;181;1863;181;1863;148
A;993;190;993;192;995;192;995;190
A;858;303;858;330;877;330;877;303
A;1042;416;1042;440;1061;440;1061;416
A;1003;840;1003;840;1005;840;1005;840
B;1035;1085;1035;1113;1055;1113;1055;1085
B;948;1305;948;1320;969;1320;969;1305
A;1007;1314;1007;1329;1015;1329;1015;1314
A;919;1631;919;1647;927;1647;927;1631
C;1030;1761;1030;1791;1053;1791;1053;1761
A;1151;2180;1151;2185;1156;2185;1156;2180
D;1029;2429;1029;2456;1051;2456;1051;2429
C;1139;2536;1139;2563;1158;2563;1158;2536
