name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;486;0;509;3055;1030;3055;1007;0
header;71;145;71;176;1794;176;1794;145
A;881;207;881;234;904;234;904;207
B;878;879;878;907;900;907;900;879
C;514;945;514;972;534;972;534;945
A;979;1104;979;1115;986;1115;986;1104
A;694;1310;694;1336;708;1336;708;1310
A;969;1511;969;1524;977;1524;977;1511
C;871;1546;871;1574;892;1574;892;1546
A;848;1729;848;1736;855;1736;855;1729
D;723;1820;723;1836;731;1836;731;1820
D;869;2209;869;2238;892;2238;892;2209
B;838;2503;838;2519;848;2519;848;2503
