name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;713;0;874;3053;1298;3053;1367;0
header;54;144;54;178;1667;178;1667;144
A;848;207;848;236;869;236;869;207
B;847;909;847;935;867;935;867;909
B;1073;1297;1073;1315;1087;1315;1087;1297
C;849;1587;849;1614;869;1614;869;1587
A;1104;2010;1104;2012;1104;2012;1104;2010
D;853;2253;853;2282;876;2282;876;2253
B;978;2258;978;2275;988;2275;988;2258
A;1035;2625;1035;2641;1043;2641;1043;2625
D;1096;2753;1096;2780;1128;2780;1128;2753
B;998;2754;998;2769;1019;2769;1019;2754
B;1067;2764;1067;2780;1076;2780;1076;2764
A;1266;2764;1266;2779;1274;2779;1274;2764
A;1218;2853;1218;2880;1225;2880;1225;2853
