name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;884;0;515;3055;1523;3055;1362;0
header;52;135;52;169;1677;169;1677;135
A;864;201;864;229;885;229;885;201
B;1055;665;1055;681;1064;681;1064;665
B;865;868;865;894;886;894;886;868
A;1414;1384;1414;1385;1414;1385;1414;1384
C;864;1537;864;1566;883;1566;883;1537
A;1180;1631;1180;1643;1186;1643;1186;1631
A;1194;1769;1194;1780;1201;1780;1201;1769
A;988;1850;988;1865;996;1865;996;1850
A;1344;1850;1344;1866;1352;1866;1352;1850
A;707;2161;707;2186;729;2186;729;2161
C;743;2161;743;2187;761;2187;761;2161
A;704;2208;704;2232;718;2232;718;2208
D;869;2211;869;2237;889;2237;889;2211
B;1010;2260;1010;2278;1025;2278;1025;2260
B;1120;2352;1120;2369;1130;2369;1130;2352
A;1335;2396;1335;2404;1342;2404;1342;2396
B;1255;2445;1255;2461;1264;2461;1264;2445
