name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;496;0;473;3051;1247;3051;1407;0
header;237;154;237;190;1857;190;1857;154
A;1035;220;1035;250;1059;250;1059;220
A;1373;226;1373;233;1380;233;1380;226
A;944;454;944;474;973;474;973;454
A;933;499;933;518;947;518;947;499
B;875;683;875;700;885;700;885;683
C;1202;767;1202;794;1223;794;1223;767
C;1237;767;1237;794;1256;794;1256;767
B;1037;890;1037;917;1059;917;1059;890
A;548;911;548;928;557;928;557;911
A;1175;1049;1175;1055;1182;1055;1182;1049
A;1202;1050;1202;1066;1211;1066;1211;1050
A;919;1140;919;1157;928;1157;928;1140
B;505;1185;505;1202;515;1202;515;1185
B;743;1276;743;1293;752;1293;752;1276
A;1271;1412;1271;1418;1278;1418;1278;1412
C;1038;1527;1038;1559;1061;1559;1061;1527
A;512;1599;512;1617;527;1617;527;1599
A;1021;1773;1021;1777;1025;1777;1025;1773
A;753;1886;753;1898;761;1898;761;1886
B;629;1920;629;1938;639;1938;639;1920
D;640;2012;640;2029;650;2029;650;2012
A;1193;2053;1193;2060;1199;2060;1199;2053
A;676;2134;676;2136;677;2136;677;2134
B;720;2150;720;2170;735;2170;735;2150
D;1036;2197;1036;2224;1059;2224;1059;2197
B;481;2240;481;2260;497;2260;497;2240
B;1264;2339;1264;2351;1272;2351;1272;2339
A;909;2566;909;2583;918;2583;918;2566
B;654;2607;654;2623;663;2623;663;2607
B;859;2768;859;2785;882;2785;882;2768
B;1161;2771;1161;2787;1184;2787;1184;2771
