name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;740;0;740;3055;1113;3055;1067;0
header;233;165;233;203;1861;203;1861;165
A;1035;237;1035;265;1057;265;1057;237
A;832;508;832;508;832;508;832;508
B;1001;517;1001;535;1016;535;1016;517
B;887;698;887;717;900;717;900;698
B;1030;902;1030;929;1051;929;1051;902
C;1027;1577;1027;1604;1048;1604;1048;1577
A;924;1608;924;1611;925;1611;925;1608
B;911;1956;911;1973;920;1973;920;1956
D;1024;2264;1024;2291;1044;2291;1044;2264
A;885;2672;885;2672;885;2672;885;2672
