name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;241;0;310;3057;1059;3057;1059;0
header;166;175;166;206;1848;206;1848;175
A;1021;236;1021;266;1043;266;1043;236
A;647;252;647;263;652;263;652;252
B;348;426;348;442;357;442;357;426
B;933;563;933;579;941;579;941;563
A;811;793;811;809;819;809;819;793
A;797;871;797;871;797;871;797;871
B;1019;907;1019;935;1040;935;1040;907
D;729;1389;729;1406;737;1406;737;1389
C;862;1526;862;1545;876;1545;876;1526
C;1019;1582;1019;1610;1039;1610;1039;1582
B;300;1665;300;1682;309;1682;309;1665
C;354;2073;354;2100;370;2100;370;2073
D;1024;2234;1024;2261;1045;2261;1045;2234
A;912;2718;912;2721;915;2721;915;2718
A;911;2730;911;2735;916;2735;916;2730
B;694;2803;694;2828;702;2828;702;2803
B;925;2808;925;2832;943;2832;943;2808
A;729;2822;729;2827;734;2827;734;2822
