name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;638;0;614;3055;1100;3055;1029;0
header;80;154;80;198;1707;198;1707;154
A;885;221;885;248;907;248;907;221
A;641;593;641;608;649;608;649;593
A;918;857;918;860;920;860;920;857
B;876;885;876;910;896;910;896;885
A;815;923;815;923;815;923;815;923
A;893;1054;893;1056;895;1056;895;1054
C;870;1550;870;1576;890;1576;890;1550
A;905;1827;905;1842;913;1842;913;1827
A;838;2055;838;2070;846;2070;846;2055
A;647;2097;647;2097;647;2097;647;2097
D;863;2215;863;2243;885;2243;885;2215
B;659;2831;659;2846;680;2846;680;2831
A;1071;2864;1071;2864;1073;2864;1073;2864
