name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;498;0;774;3061;1066;3061;1066;0
header;281;106;281;141;1920;141;1920;106
D;853;268;853;286;865;286;865;268
A;930;720;930;721;932;721;932;720
B;610;1258;610;1277;623;1277;623;1258
A;664;1719;664;1723;668;1723;668;1719
D;675;1764;675;1783;690;1783;690;1764
B;826;2499;826;2518;840;2518;840;2499
A;1055;2509;1055;2515;1064;2515;1064;2509
A;1053;2704;1053;2707;1062;2707;1062;2704
B;849;2821;849;2835;869;2835;869;2821
A;906;3030;906;3030;907;3030;907;3030
