name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;286;0;378;3057;1032;3057;1055;0
header;272;151;272;190;1906;190;1906;151
B;306;258;306;293;357;293;357;258
A;760;411;760;427;768;427;768;411
B;470;500;470;515;478;515;478;500
A;667;501;667;517;675;517;675;501
A;594;547;594;563;602;563;602;547
D;706;730;706;749;722;749;722;730
A;520;1283;520;1284;521;1284;521;1283
A;814;1346;814;1361;821;1361;821;1346
A;410;1390;410;1406;418;1406;418;1390
A;741;1699;741;1700;744;1700;744;1699
A;529;1943;529;1955;536;1955;536;1943
A;918;2027;918;2042;926;2042;926;2027
D;548;2068;548;2085;557;2085;557;2068
A;617;2873;617;2875;619;2875;619;2873
