name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;35;0;127;3055;883;3055;860;0
header;19;175;19;213;1648;213;1648;175
A;453;78;453;78;453;78;453;78
A;830;246;830;271;853;271;853;246
B;832;910;832;938;853;938;853;910
C;434;1239;434;1264;452;1264;452;1239
A;808;1473;808;1489;817;1489;817;1473
C;542;1555;542;1582;561;1582;561;1555
B;634;1555;634;1581;656;1581;656;1555
C;678;1555;678;1581;695;1581;695;1555
B;783;1556;783;1581;798;1581;798;1556
C;833;1577;833;1609;857;1609;857;1577
A;343;1655;343;1663;350;1663;350;1655
A;718;1699;718;1706;725;1706;725;1699
A;512;1928;512;1935;519;1935;519;1928
A;540;1929;540;1944;548;1944;548;1929
C;428;2057;428;2084;448;2084;448;2057
D;840;2251;840;2277;862;2277;862;2251
B;250;2421;250;2448;272;2448;272;2421
C;297;2421;297;2448;315;2448;315;2421
C;135;2422;135;2448;154;2448;154;2422
C;475;2422;475;2449;495;2449;495;2422
C;522;2423;522;2449;540;2449;540;2423
A;329;2611;329;2617;335;2617;335;2611
B;620;2748;620;2764;628;2764;628;2748
C;284;2870;284;2897;308;2897;308;2870
