name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;800;0;800;3055;1716;3055;1348;0
header;89;197;89;235;1716;235;1716;197
A;872;193;872;196;876;196;876;193
A;896;268;896;296;916;296;916;268
A;1028;599;1028;615;1036;615;1036;599
B;1271;702;1271;714;1279;714;1279;702
A;1328;826;1328;840;1338;840;1338;826
B;995;868;995;886;1009;886;1009;868
B;1330;872;1330;887;1339;887;1339;872
B;896;908;896;936;916;936;916;908
A;870;1329;870;1335;877;1335;877;1329
C;894;1590;894;1620;914;1620;914;1590
A;1310;1646;1310;1662;1318;1662;1318;1646
A;1041;1784;1041;1799;1049;1799;1049;1784
B;1364;1920;1364;1936;1373;1936;1373;1920
C;1175;2329;1175;2349;1190;2349;1190;2329
D;1291;2558;1291;2573;1299;2573;1299;2558
B;1423;2604;1423;2621;1431;2621;1431;2604
B;1412;2915;1412;2930;1433;2930;1433;2915
B;920;2916;920;2932;941;2932;941;2916
A;1397;2995;1397;2998;1400;2998;1400;2995
