name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1026;0;1003;3069;1834;3069;1880;0
header;232;152;232;188;1868;188;1868;152
A;1410;92;1410;92;1411;92;1411;92
A;1037;215;1037;243;1060;243;1060;215
B;1039;893;1039;920;1058;920;1058;893
C;1028;1563;1028;1591;1049;1591;1049;1563
A;1415;1842;1415;1858;1423;1858;1423;1842
D;1627;1889;1627;1904;1635;1904;1635;1889
D;1023;2232;1023;2259;1044;2259;1044;2232
A;1712;2434;1712;2459;1726;2459;1726;2434
B;1424;2440;1424;2457;1432;2457;1432;2440
A;1838;2490;1838;2496;1843;2496;1843;2490
B;1297;2579;1297;2594;1306;2594;1306;2579
A;1352;2668;1352;2675;1359;2675;1359;2668
