name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;349;0;601;3051;1015;3051;1068;0
header;236;165;236;200;1867;200;1867;165
A;1036;227;1036;254;1058;254;1058;227
B;846;281;846;300;861;300;861;281
A;877;281;877;301;906;301;906;281
A;1053;376;1053;377;1053;377;1053;376
A;705;693;705;706;713;706;713;693
B;459;818;459;834;469;834;469;818
B;1040;897;1040;924;1061;924;1061;897
B;672;909;672;928;686;928;686;909
B;780;955;780;972;790;972;790;955
A;774;1369;774;1386;783;1386;783;1369
D;1013;1508;1013;1526;1023;1526;1023;1508
A;856;1771;856;1772;856;1772;856;1771
D;683;1916;683;1934;692;1934;692;1916
A;1008;2181;1008;2207;1031;2207;1031;2181
A;643;2236;643;2252;651;2252;651;2236
B;778;2278;778;2297;792;2297;792;2278
B;584;2880;584;2895;605;2895;605;2880
