name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;493;0;516;3057;1266;3057;1704;0
header;244;154;244;183;1875;183;1875;154
A;867;62;867;63;867;63;867;62
A;1047;215;1047;243;1069;243;1069;215
B;1346;669;1346;695;1360;695;1360;669
A;1152;677;1152;684;1158;684;1158;677
A;1460;723;1460;728;1465;728;1465;723
B;1045;888;1045;916;1067;916;1067;888
A;1542;949;1542;956;1548;956;1548;949
A;1337;1043;1337;1048;1342;1048;1342;1043
B;885;1078;885;1105;901;1105;901;1078
A;1468;1178;1468;1185;1474;1185;1474;1178
C;1041;1562;1041;1590;1062;1590;1062;1562
B;1013;1869;1013;1885;1022;1885;1022;1869
A;595;1901;595;1902;597;1902;597;1901
B;1282;1960;1282;1976;1291;1976;1291;1960
A;1197;2004;1197;2011;1202;2011;1202;2004
B;983;2145;983;2160;994;2160;994;2145
D;1038;2284;1038;2315;1062;2315;1062;2284
A;1298;2323;1298;2323;1298;2323;1298;2323
C;1161;2354;1161;2381;1180;2381;1180;2354
B;1263;2354;1263;2380;1283;2380;1283;2354
B;986;2781;986;2805;1005;2805;1005;2781
