name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;64;0;247;3051;1000;3051;702;0
header;81;143;81;175;1707;175;1707;143
B;602;213;602;229;610;229;610;213
A;684;303;684;308;689;308;689;303
C;166;610;166;636;184;636;184;610
B;282;610;282;635;302;635;302;610
A;691;1156;691;1181;705;1181;705;1156
A;873;2120;873;2127;879;2127;879;2120
B;871;2169;871;2184;880;2184;880;2169
D;901;2228;901;2254;921;2254;921;2228
A;774;2488;774;2494;779;2494;779;2488
B;630;2535;630;2552;638;2552;638;2535
B;884;2695;884;2711;906;2711;906;2695
B;707;2703;707;2728;726;2728;726;2703
