name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;431;0;431;3055;900;3055;900;0
header;53;155;53;194;1688;194;1688;155
A;514;206;514;206;517;206;517;206
A;861;214;861;241;883;241;883;214
B;753;534;753;560;785;560;785;534
A;749;850;749;852;750;852;750;850
B;867;883;867;911;887;911;887;883
A;761;1271;761;1276;766;1276;766;1271
C;862;1550;862;1577;881;1577;881;1550
D;865;2216;865;2245;889;2245;889;2216
B;736;2272;736;2287;744;2287;744;2272
A;870;2668;870;2669;874;2669;874;2668
B;662;2813;662;2839;671;2839;671;2813
