name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;52;0;449;3053;927;3053;881;0
header;54;147;54;181;1670;181;1670;147
A;567;136;567;136;569;136;569;136
A;850;211;850;239;871;239;871;211
B;850;911;850;938;870;938;870;911
A;611;1431;611;1456;625;1456;625;1431
C;852;1589;852;1617;872;1617;872;1589
A;424;1751;424;1777;438;1777;438;1751
A;826;2025;826;2050;840;2050;840;2025
D;856;2255;856;2285;879;2285;879;2255
A;352;2261;352;2276;360;2276;360;2261
A;379;2307;379;2322;387;2322;387;2307
A;897;2399;897;2415;905;2415;905;2399
A;831;2444;831;2460;839;2460;839;2444
