name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;274;0;343;3069;1363;3069;1386;0
header;118;180;118;211;1897;211;1897;180
A;1068;242;1068;271;1088;271;1088;242
A;911;340;911;355;920;355;920;340
B;1066;912;1066;940;1085;940;1085;912
A;386;1564;386;1581;394;1581;394;1564
C;1057;1581;1057;1611;1080;1611;1080;1581
A;675;1725;675;1725;676;1725;676;1725
B;836;2247;836;2263;845;2263;845;2247
D;1057;2248;1057;2274;1076;2274;1076;2248
B;672;2290;672;2310;687;2310;687;2290
B;858;2382;858;2399;866;2399;866;2382
A;817;2474;817;2490;825;2490;825;2474
B;580;2808;580;2823;602;2823;602;2808
B;370;2809;370;2835;390;2835;390;2809
C;897;2879;897;2914;908;2914;908;2879
