name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;447;0;539;3051;1060;3051;1037;0
header;245;144;245;177;1890;177;1890;144
A;625;397;625;401;629;401;629;397
B;1032;577;1032;592;1040;592;1040;577
A;581;772;581;778;586;778;586;772
D;479;853;479;869;487;869;487;853
A;545;942;545;947;550;947;550;942
A;572;943;572;959;580;959;580;943
A;545;954;545;959;550;959;550;954
A;538;988;538;992;543;992;543;988
C;781;1263;781;1280;795;1280;795;1263
A;559;1537;559;1553;568;1553;568;1537
A;553;2040;553;2044;555;2044;555;2040
C;591;2313;591;2337;608;2337;608;2313
C;1039;2407;1039;2425;1054;2425;1054;2407
B;530;2637;530;2654;543;2654;543;2637
B;942;2853;942;2869;963;2869;963;2853
B;647;2854;647;2870;667;2870;667;2854
