name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;664;0;870;3049;1570;3049;1662;0
header;54;193;54;229;1675;229;1675;193
A;852;257;852;284;873;284;873;257
B;1564;354;1564;373;1578;373;1578;354
D;1531;584;1531;600;1539;600;1539;584
A;1263;613;1263;614;1265;614;1265;613
B;859;945;859;973;880;973;880;945
B;1157;1045;1157;1064;1171;1064;1171;1045
C;863;1686;863;1715;884;1715;884;1686
A;788;1784;788;1791;795;1791;795;1784
C;1572;2195;1572;2215;1587;2215;1587;2195
D;866;2364;866;2391;889;2391;889;2364
A;1140;2718;1140;2730;1148;2730;1148;2718
