name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;239;0;262;3067;1030;3067;1007;0
header;239;183;239;225;1887;225;1887;183
A;657;82;657;82;657;82;657;82
A;638;123;638;123;638;123;638;123
C;451;445;451;465;467;465;467;445
B;977;851;977;868;985;868;985;851
B;628;995;628;1011;637;1011;637;995
A;758;1095;758;1106;766;1106;766;1095
A;942;1403;942;1418;949;1418;949;1403
B;550;1681;550;1697;560;1697;560;1681
A;670;1716;670;1743;690;1743;690;1716
A;644;1726;644;1742;652;1742;652;1726
B;639;1819;639;1835;648;1835;648;1819
B;745;1860;745;1880;759;1880;759;1860
B;886;2000;886;2015;894;2015;894;2000
A;903;2095;903;2100;908;2100;908;2095
A;929;2095;929;2111;937;2111;937;2095
B;374;2515;374;2531;383;2531;383;2515
A;329;2741;329;2757;336;2757;336;2741
A;731;2786;731;2801;739;2801;739;2786
B;553;2889;553;2904;574;2904;574;2889
B;304;2890;304;2905;326;2905;326;2890
A;511;2910;511;2914;515;2914;515;2910
A;456;2967;456;2970;457;2970;457;2967
