name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;880;0;788;3057;1712;3057;1344;0
header;74;183;74;213;1689;213;1689;183
A;916;176;916;182;919;182;919;176
A;879;246;879;275;901;275;901;246
D;1359;522;1359;539;1372;539;1372;522
D;1032;523;1032;539;1041;539;1041;523
B;882;924;882;951;902;951;902;924
A;1277;943;1277;955;1284;955;1284;943
A;1478;1542;1478;1553;1483;1553;1483;1542
C;882;1600;882;1628;902;1628;902;1600
A;1506;2001;1506;2014;1514;2014;1514;2001
D;882;2219;882;2247;904;2247;904;2219
A;1411;2505;1411;2511;1417;2511;1417;2505
