name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;121;0;121;3063;929;3063;883;0
header;47;214;47;245;1679;245;1679;214
A;858;278;858;306;879;306;879;278
A;290;510;290;516;295;516;295;510
B;314;510;314;526;322;526;322;510
B;864;954;864;981;885;981;885;954
B;474;970;474;987;483;987;483;970
A;730;1227;730;1229;734;1229;734;1227
A;723;1601;723;1601;723;1601;723;1601
C;872;1635;872;1663;892;1663;892;1635
D;882;2427;882;2453;903;2453;903;2427
A;549;2804;549;2807;550;2807;550;2804
B;302;2883;302;2909;316;2909;316;2883
