name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;953;0;1022;3051;1847;3051;1801;0
header;182;132;182;165;1808;165;1808;132
A;981;209;981;238;1004;238;1004;209
A;1186;373;1186;373;1187;373;1187;373
A;1601;706;1601;722;1610;722;1610;706
B;1370;753;1370;769;1379;769;1379;753
B;1214;890;1214;906;1224;906;1224;890
B;989;892;989;920;1011;920;1011;892
A;1233;918;1233;922;1237;922;1237;918
C;1109;1090;1109;1117;1127;1117;1127;1090
B;1223;1091;1223;1118;1244;1118;1244;1091
C;1257;1091;1257;1119;1276;1119;1276;1091
C;1349;1091;1349;1119;1369;1119;1369;1091
C;1392;1091;1392;1119;1411;1119;1411;1091
D;1533;1091;1533;1118;1554;1118;1554;1091
C;1568;1091;1568;1119;1588;1119;1588;1091
C;997;1572;997;1601;1018;1601;1018;1572
D;1402;1697;1402;1713;1411;1713;1411;1697
D;1009;2248;1009;2277;1032;2277;1032;2248
B;1599;2517;1599;2533;1608;2533;1608;2517
A;1747;2784;1747;2785;1748;2785;1748;2784
