name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;848;0;871;3061;1234;3061;1464;0
header;87;182;87;218;1713;218;1713;182
A;1122;119;1122;119;1122;119;1122;119
A;891;246;891;274;911;274;911;246
B;1325;608;1325;623;1347;623;1347;608
B;887;918;887;946;908;946;908;918
A;1344;1223;1344;1235;1351;1235;1351;1223
C;887;1589;887;1617;906;1617;906;1589
D;897;2274;897;2299;918;2299;918;2274
A;1069;2311;1069;2326;1077;2326;1077;2311
B;870;2545;870;2561;878;2561;878;2545
A;892;2679;892;2686;899;2686;899;2679
B;1206;2721;1206;2739;1220;2739;1220;2721
A;1068;2856;1068;2881;1073;2881;1073;2856
D;1139;2890;1139;2906;1160;2906;1160;2890
