name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;250;0;241;3059;1079;3059;1033;0
header;197;151;197;206;1827;206;1827;151
A;881;60;881;60;884;60;884;60
A;999;232;999;259;1020;259;1020;232
B;920;283;920;298;929;298;929;283
B;1012;908;1012;939;1034;939;1034;908
D;989;1235;989;1250;997;1250;997;1235
C;1020;1580;1020;1607;1041;1607;1041;1580
A;366;1694;366;1711;374;1711;374;1694
A;631;1723;631;1724;634;1724;634;1723
A;366;1831;366;1846;374;1846;374;1831
D;926;1831;926;1848;935;1848;935;1831
D;1033;2250;1033;2276;1053;2276;1053;2250
C;506;2789;506;2809;520;2809;520;2789
B;590;2870;590;2897;597;2897;597;2870
