name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;73;0;165;3055;842;3055;888;0
header;28;139;28;171;1665;171;1665;139
A;842;198;842;228;865;228;865;198
A;352;203;352;208;357;208;357;203
A;450;745;450;745;450;745;450;745
B;842;879;842;906;862;906;862;879
C;123;969;123;995;144;995;144;969
B;219;969;219;995;239;995;239;969
C;255;969;255;996;273;996;273;969
C;388;970;388;997;408;997;408;970
C;426;970;426;997;444;997;444;970
D;568;971;568;997;587;997;587;971
B;686;971;686;998;707;998;707;971
C;728;971;728;999;746;999;746;971
B;479;972;479;997;511;997;511;972
C;598;972;598;999;615;999;615;972
A;819;1302;819;1307;823;1307;823;1302
B;814;1395;814;1410;822;1410;822;1395
C;841;1546;841;1574;862;1574;862;1546
B;264;1575;264;1591;272;1591;272;1575
D;839;2227;839;2255;860;2255;860;2227
C;554;2432;554;2459;572;2459;572;2432
B;680;2432;680;2458;700;2458;700;2432
C;714;2432;714;2459;731;2459;731;2432
A;433;2441;433;2446;438;2446;438;2441
B;319;2853;319;2868;338;2868;338;2853
B;710;2860;710;2887;729;2887;729;2860
