name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1064;0;1064;3057;1873;3057;1598;0
header;274;86;274;123;1885;123;1885;86
A;1076;149;1076;177;1098;177;1098;149
B;1083;823;1083;849;1102;849;1102;823
A;1411;1055;1411;1079;1428;1079;1428;1055
B;1387;1064;1387;1079;1395;1079;1395;1064
A;1653;1295;1653;1299;1658;1299;1658;1295
A;1436;1431;1436;1436;1442;1436;1442;1431
C;1080;1486;1080;1514;1100;1514;1100;1486
A;1106;2035;1106;2037;1108;2037;1108;2035
A;1437;2158;1437;2158;1438;2158;1438;2158
D;1080;2163;1080;2188;1099;2188;1099;2163
A;1459;2293;1459;2317;1473;2317;1473;2293
B;1338;2790;1338;2816;1355;2816;1355;2790
D;1527;2790;1527;2816;1541;2816;1541;2790
A;1313;2800;1313;2804;1317;2804;1317;2800
A;1454;2811;1454;2816;1458;2816;1458;2811
A;1297;2812;1297;2815;1300;2815;1300;2812
