name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;341;0;295;3051;1241;3051;1264;0
header;105;174;105;212;1707;212;1707;174
A;898;243;898;270;916;270;916;243
A;717;471;717;477;722;477;722;471
A;1120;638;1120;638;1120;638;1120;638
A;875;649;875;653;880;653;880;649
D;932;654;932;672;947;672;947;654
B;897;907;897;933;915;933;915;907
C;322;1266;322;1292;338;1292;338;1266
C;456;1266;456;1293;474;1293;474;1266
C;490;1266;490;1292;508;1292;508;1266
D;623;1266;623;1292;642;1292;642;1266
C;656;1266;656;1293;674;1293;674;1266
A;577;1332;577;1341;582;1341;582;1332
A;1045;1420;1045;1432;1050;1432;1050;1420
C;896;1572;896;1599;915;1599;915;1572
A;809;1853;809;1861;817;1861;817;1853
B;325;1900;325;1916;334;1916;334;1900
A;775;2166;775;2171;781;2171;781;2166
D;901;2226;901;2251;920;2251;920;2226
B;1088;2389;1088;2408;1102;2408;1102;2389
A;877;2393;877;2398;882;2398;882;2393
B;1037;2434;1037;2452;1045;2452;1045;2434
A;748;2482;748;2498;756;2498;756;2482
B;871;2526;871;2542;880;2542;880;2526
A;389;2618;389;2623;396;2623;396;2618
A;730;2751;730;2757;735;2757;735;2751
A;980;2806;980;2807;982;2807;982;2806
