name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;630;0;286;3051;1047;3051;1047;0
header;223;189;223;220;1840;220;1840;189
A;638;179;638;182;638;182;638;179
A;1014;258;1014;284;1036;284;1036;258
A;987;261;987;276;995;276;995;261
B;1011;880;1011;908;1032;908;1032;880
B;665;1207;665;1225;679;1225;679;1207
B;764;1300;764;1318;778;1318;778;1300
C;1010;1543;1010;1572;1030;1572;1030;1543
B;513;1574;513;1590;522;1590;522;1574
D;779;1621;779;1637;787;1637;787;1621
D;1013;2209;1013;2237;1034;2237;1034;2209
B;412;2301;412;2320;426;2320;426;2301
