name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;979;0;956;3051;1801;3051;1824;0
header;197;144;197;178;1822;178;1822;144
A;997;210;997;237;1018;237;1018;210
A;1615;288;1615;289;1615;289;1615;288
A;1126;309;1126;315;1131;315;1131;309
B;1808;581;1808;598;1817;598;1817;581
A;1493;630;1493;645;1500;645;1500;630
B;1688;673;1688;689;1696;689;1696;673
A;1635;809;1635;815;1640;815;1640;809
A;1395;856;1395;862;1402;862;1402;856
B;990;892;990;919;1011;919;1011;892
A;1186;1452;1186;1468;1194;1468;1194;1452
C;982;1567;982;1595;1003;1595;1003;1567
A;1221;1634;1221;1640;1227;1640;1227;1634
A;1553;1676;1553;1681;1558;1681;1558;1676
A;1087;1771;1087;1779;1093;1779;1093;1771
A;1229;2051;1229;2055;1233;2055;1233;2051
B;1214;2080;1214;2105;1233;2105;1233;2080
C;1247;2080;1247;2106;1265;2106;1265;2080
C;1101;2082;1101;2106;1118;2106;1118;2082
D;980;2196;980;2223;1001;2223;1001;2196
A;1244;2546;1244;2551;1249;2551;1249;2546
A;1768;2707;1768;2733;1800;2733;1800;2707
B;1596;2709;1596;2724;1619;2724;1619;2709
A;1061;2711;1061;2737;1067;2737;1067;2711
