name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;198;0;381;3049;919;3049;919;0
header;79;181;79;209;1703;209;1703;181
D;722;295;722;311;730;311;730;295
A;881;336;881;363;903;363;903;336
A;812;436;812;437;813;437;813;436
B;884;1011;884;1037;905;1037;905;1011
B;736;1399;736;1415;745;1415;745;1399
A;780;1667;780;1691;794;1691;794;1667
C;882;1690;882;1718;903;1718;903;1690
A;614;1718;614;1724;619;1724;619;1718
D;639;1720;639;1736;647;1736;647;1720
A;695;1858;695;1873;703;1873;703;1858
A;675;1950;675;1965;683;1965;683;1950
D;882;2374;882;2400;903;2400;903;2374
A;909;2512;909;2512;909;2512;909;2512
A;464;2586;464;2592;469;2592;469;2586
A;451;2634;451;2649;459;2649;459;2634
A;614;2886;614;2890;617;2890;617;2886
