name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;93;0;139;3057;895;3057;872;0
header;45;132;45;167;1670;167;1670;132
A;159;54;159;55;160;55;160;54
D;729;682;729;728;766;728;766;682
C;817;683;817;727;849;727;849;683
B;663;684;663;726;695;726;695;684
B;777;684;777;727;807;727;807;684
A;850;1074;850;1103;874;1103;874;1074
A;559;1607;559;1614;564;1614;564;1607
B;851;1752;851;1779;872;1779;872;1752
A;690;2221;690;2228;696;2228;696;2221
C;852;2422;852;2450;873;2450;873;2422
A;329;2440;329;2465;343;2465;343;2440
A;724;2671;724;2679;731;2679;731;2671
A;871;2671;871;2675;875;2675;875;2671
