name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;723;0;723;3057;1062;3057;1039;0
header;219;159;219;189;1844;189;1844;159
A;1023;223;1023;251;1044;251;1044;223
A;938;260;938;261;938;261;938;260
A;881;305;881;305;882;305;882;305
A;783;396;783;396;783;396;783;396
A;928;577;928;581;930;581;930;577
B;992;823;992;839;1000;839;1000;823
B;1019;892;1019;920;1040;920;1040;892
B;722;1186;722;1201;731;1201;731;1186
C;1015;1568;1015;1597;1035;1597;1035;1568
A;1013;1723;1013;1723;1013;1723;1013;1723
D;889;1735;889;1751;897;1751;897;1735
D;1017;2251;1017;2278;1038;2278;1038;2251
B;858;2328;858;2344;867;2344;867;2328
A;1053;2862;1053;2877;1062;2877;1062;2862
A;803;2897;803;2897;803;2897;803;2897
