name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;687;0;619;3055;1083;3055;1060;0
header;221;134;221;181;1854;181;1854;134
A;1022;203;1022;229;1044;229;1044;203
B;1032;876;1032;903;1053;903;1053;876
B;866;1472;866;1487;889;1487;889;1472
C;1035;1546;1035;1574;1055;1574;1055;1546
A;833;1598;833;1602;835;1602;835;1598
B;647;2160;647;2178;660;2178;660;2160
D;1043;2214;1043;2241;1064;2241;1064;2214
A;830;2309;830;2320;836;2320;836;2309
B;789;2619;789;2637;802;2637;802;2619
B;942;2665;942;2683;955;2683;955;2665
D;919;2712;919;2728;927;2728;927;2712
A;819;2769;819;2796;827;2796;827;2769
B;787;2770;787;2785;810;2785;810;2770
B;1037;2771;1037;2786;1058;2786;1058;2771
