name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;801;0;915;3055;1719;3055;1654;0
header;75;152;75;188;1697;188;1697;152
A;879;218;879;244;899;244;899;218
B;1311;501;1311;517;1320;517;1320;501
A;875;502;875;503;877;503;877;502
B;1203;594;1203;610;1210;610;1210;594
B;883;895;883;921;904;921;904;895
A;1492;1193;1492;1196;1497;1196;1497;1193
B;920;1405;920;1424;934;1424;934;1405
D;1268;1439;1268;1466;1300;1466;1300;1439
C;882;1558;882;1586;902;1586;902;1558
A;1577;2037;1577;2052;1585;2052;1585;2037
B;1339;2041;1339;2057;1347;2057;1347;2041
B;1297;2132;1297;2148;1306;2148;1306;2132
A;1704;2596;1704;2607;1711;2607;1711;2596
B;1397;2737;1397;2747;1404;2747;1404;2737
B;902;2854;902;2870;924;2870;924;2854
