name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;425;0;448;3055;1593;3055;1501;0
header;225;133;225;168;1849;168;1849;133
A;1023;196;1023;224;1044;224;1044;196
A;799;237;799;238;799;238;799;237
A;741;342;741;358;749;358;749;342
D;834;751;834;767;842;767;842;751
A;1257;765;1257;777;1264;777;1264;765
B;1029;877;1029;905;1050;905;1050;877
A;1514;974;1514;999;1528;999;1528;974
A;796;1219;796;1231;805;1231;805;1219
C;1028;1544;1028;1574;1050;1574;1050;1544
A;1003;1620;1003;1635;1011;1635;1011;1620
B;1002;1666;1002;1682;1011;1682;1011;1666
A;505;1667;505;1683;514;1683;514;1667
A;1493;1758;1493;1774;1501;1774;1501;1758
C;828;1803;828;1822;841;1822;841;1803
B;531;1852;531;1869;540;1869;540;1852
A;1188;1939;1188;1955;1195;1955;1195;1939
A;1433;1985;1433;2000;1441;2000;1441;1985
B;547;2128;547;2144;556;2144;556;2128
D;1028;2215;1028;2241;1050;2241;1050;2215
A;1503;2375;1503;2375;1509;2375;1509;2375
A;677;2426;677;2470;707;2470;707;2426
B;637;2427;637;2470;667;2470;667;2427
C;799;2427;799;2470;829;2470;829;2427
D;487;2428;487;2470;520;2470;520;2428
A;1098;2478;1098;2479;1101;2479;1101;2478
A;1034;2664;1034;2666;1037;2666;1037;2664
B;762;2747;762;2763;784;2763;784;2747
B;1061;2747;1061;2762;1082;2762;1082;2747
B;484;2748;484;2764;506;2764;506;2748
A;969;2882;969;2882;970;2882;970;2882
A;871;3025;871;3026;871;3026;871;3025
