name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;900;0;1107;3055;1557;3055;1350;0
header;141;173;141;210;1838;210;1838;173
A;1007;241;1007;268;1028;268;1028;241
A;1314;640;1314;643;1317;643;1317;640
B;1000;908;1000;935;1021;935;1021;908
B;970;1069;970;1085;979;1085;979;1069
A;1304;1489;1304;1490;1304;1490;1304;1489
C;995;1531;995;1559;1016;1559;1016;1531
A;1433;1960;1433;1986;1448;1986;1448;1960
B;1387;2153;1387;2169;1396;2169;1396;2153
A;1488;2595;1488;2596;1491;2596;1491;2595
A;1351;2747;1351;2771;1365;2771;1365;2747
A;1469;2780;1469;2780;1469;2780;1469;2780
A;1420;2881;1420;2908;1431;2908;1431;2881
