name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;458;0;596;3051;1077;3051;1054;0
header;230;140;230;174;1847;174;1847;140
A;1030;207;1030;235;1050;235;1050;207
A;598;213;598;230;606;230;606;213
A;823;303;823;319;832;319;832;303
A;558;665;558;683;572;683;572;665
B;1033;908;1033;935;1053;935;1053;908
B;630;1281;630;1301;645;1301;645;1281
C;1030;1573;1030;1602;1051;1602;1051;1573
D;1034;2268;1034;2296;1056;2296;1056;2268
B;781;2324;781;2343;796;2343;796;2324
A;707;2414;707;2431;716;2431;716;2414
B;1008;2424;1008;2437;1016;2437;1016;2424
A;586;2473;586;2473;586;2473;586;2473
A;643;2929;643;2938;654;2938;654;2929
A;710;2938;710;2938;712;2938;712;2938
