name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;436;0;528;3059;1087;3059;1087;0
header;304;220;304;264;1915;264;1915;220
A;479;528;479;543;487;543;487;528
B;453;620;453;635;461;635;461;620
B;871;884;871;900;880;900;880;884
B;868;971;868;990;882;990;882;971
B;949;984;949;995;957;995;957;984
B;733;1158;733;1173;741;1173;741;1158
A;489;1648;489;1648;489;1648;489;1648
B;727;1649;727;1664;748;1664;748;1649
A;788;1657;788;1673;796;1673;796;1657
B;679;1751;679;1767;688;1767;688;1751
B;999;1930;999;1946;1009;1946;1009;1930
B;760;2023;760;2040;775;2040;775;2023
B;637;2434;637;2450;645;2450;645;2434
B;579;2528;579;2544;587;2544;587;2528
A;1083;2576;1083;2581;1087;2581;1087;2576
B;823;2662;823;2679;836;2679;836;2662
B;929;2890;929;2906;950;2906;950;2890
B;595;2892;595;2907;617;2907;617;2892
A;701;2947;701;2951;704;2951;704;2947
