name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;64;0;179;3053;878;3053;901;0
header;61;152;61;185;1683;185;1683;152
A;862;219;862;246;884;246;884;219
A;364;406;364;413;372;413;372;406
A;401;408;401;424;409;424;409;408
A;835;454;835;470;843;470;843;454
A;771;729;771;744;779;744;779;729
A;831;819;831;834;839;834;839;819
B;860;911;860;939;881;939;881;911
D;410;1134;410;1159;439;1159;439;1134
B;722;1142;722;1158;731;1158;731;1142
A;543;1557;543;1564;549;1564;549;1557
C;854;1586;854;1614;874;1614;874;1586
B;827;1877;827;1893;836;1893;836;1877
A;180;2009;180;2034;195;2034;195;2009
A;512;2061;512;2067;518;2067;518;2061
A;532;2062;532;2078;540;2078;540;2062
A;323;2119;323;2130;331;2130;331;2119
D;854;2260;854;2286;875;2286;875;2260
A;388;2420;388;2445;402;2445;402;2420
A;825;2657;825;2672;833;2672;833;2657
B;682;2871;682;2886;700;2886;700;2871
B;808;2880;808;2904;826;2904;826;2880
