name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;420;0;259;3051;1045;3051;1068;0
header;227;161;227;197;1844;197;1844;161
A;1029;229;1029;256;1051;256;1051;229
B;495;371;495;390;509;390;509;371
B;1024;912;1024;940;1045;940;1045;912
B;949;925;949;943;962;943;962;925
C;1020;1572;1020;1600;1040;1600;1040;1572
B;988;2057;988;2073;996;2073;996;2057
B;474;2092;474;2106;497;2106;497;2092
D;1016;2235;1016;2263;1037;2263;1037;2235
B;518;2704;518;2719;540;2719;540;2704
C;393;2856;393;2878;411;2878;411;2856
B;806;2858;806;2877;820;2877;820;2858
