name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;279;0;486;3061;1041;3061;1018;0
header;253;113;253;145;1880;145;1880;113
A;768;52;768;55;769;55;769;52
A;868;58;868;59;870;59;870;58
A;670;152;670;155;672;155;672;152
A;521;421;521;432;528;432;528;421
A;492;593;492;608;500;608;500;593
B;964;1003;964;1022;979;1022;979;1003
A;782;1105;782;1118;789;1118;789;1105
A;373;1363;373;1379;382;1379;382;1363
D;624;1457;624;1475;635;1475;635;1457
A;506;1709;506;1711;508;1711;508;1709
A;497;2428;497;2433;498;2433;498;2428
D;601;2503;601;2520;610;2520;610;2503
B;618;2780;618;2795;639;2795;639;2780
B;954;2783;954;2799;975;2799;975;2783
A;1011;2980;1011;2980;1012;2980;1012;2980
