name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1017;0;1017;3051;1597;3051;1252;0
header;235;141;235;174;1852;174;1852;141
A;1032;208;1032;234;1050;234;1050;208
A;1159;349;1159;357;1165;357;1165;349
A;1057;397;1057;401;1062;401;1062;397
D;1080;397;1080;413;1088;413;1088;397
A;1058;410;1058;420;1063;420;1063;410
C;1157;525;1157;551;1174;551;1174;525
B;1274;525;1274;551;1293;551;1293;525
B;1036;858;1036;885;1054;885;1054;858
A;1269;1259;1269;1265;1274;1265;1274;1259
A;1305;1259;1305;1275;1313;1275;1313;1259
C;1031;1529;1031;1558;1051;1558;1051;1529
A;1372;1579;1372;1595;1380;1595;1380;1579
B;1241;1625;1241;1641;1249;1641;1249;1625
A;1153;1715;1153;1722;1158;1722;1158;1715
A;1181;1717;1181;1732;1188;1732;1188;1717
A;1308;1942;1308;1948;1315;1948;1315;1942
A;1343;1943;1343;1958;1350;1958;1350;1943
A;1191;2034;1191;2049;1199;2049;1199;2034
D;1031;2202;1031;2229;1051;2229;1051;2202
A;1237;2215;1237;2221;1242;2221;1242;2215
A;1177;2351;1177;2367;1186;2367;1186;2351
B;1154;2659;1154;2686;1163;2686;1163;2659
A;1415;2659;1415;2686;1423;2686;1423;2659
B;1319;2661;1319;2686;1339;2686;1339;2661
