name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;534;0;234;3051;1078;3051;1078;0
header;232;165;232;196;1871;196;1871;165
A;1036;228;1036;255;1055;255;1055;228
A;1015;701;1015;706;1019;706;1019;701
B;755;832;755;848;764;848;764;832
B;1037;900;1037;927;1056;927;1056;900
B;749;1107;749;1124;757;1124;757;1107
C;1035;1591;1035;1619;1056;1619;1056;1591
A;849;1841;849;1857;857;1857;857;1841
A;1016;2028;1016;2034;1023;2034;1023;2028
A;797;2130;797;2141;803;2141;803;2130
D;1041;2283;1041;2309;1060;2309;1060;2283
B;857;2889;857;2905;877;2905;877;2889
D;274;2893;274;2909;297;2909;297;2893
