name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;700;0;883;3051;1109;3051;1109;0
header;272;139;272;170;1893;170;1893;139
A;1065;205;1065;232;1085;232;1085;205
A;1004;765;1004;777;1011;777;1011;765
B;1074;931;1074;960;1095;960;1095;931
C;1071;1607;1071;1637;1092;1637;1092;1607
A;866;1727;866;1739;873;1739;873;1727
A;869;1947;869;1963;877;1963;877;1947
D;1073;2289;1073;2317;1095;2317;1095;2289
A;1105;2298;1105;2298;1105;2298;1105;2298
A;962;2432;962;2432;962;2432;962;2432
B;906;2739;906;2754;927;2754;927;2739
