name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;257;0;625;3057;1051;3057;1051;0
header;253;176;253;209;1903;209;1903;176
A;863;853;863;868;871;868;871;853
B;834;945;834;962;842;962;842;945
A;774;1256;774;1258;776;1258;776;1256
A;449;1549;449;1565;458;1565;458;1549
B;714;1915;714;1931;723;1931;723;1915
A;968;2008;968;2024;977;2024;977;2008
B;604;2099;604;2115;612;2115;612;2099
B;798;2192;798;2207;807;2207;807;2192
B;850;2468;850;2485;860;2485;860;2468
B;961;2790;961;2806;969;2806;969;2790
A;861;2881;861;2906;868;2906;868;2881
A;877;2899;877;2907;883;2907;883;2899
