name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;321;0;459;3057;1072;3057;1072;0
header;231;160;231;189;1865;189;1865;160
B;973;342;973;385;1004;385;1004;342
A;1028;552;1028;581;1051;581;1051;552
A;889;625;889;626;891;626;891;625
D;437;779;437;798;453;798;453;779
A;839;978;839;989;846;989;846;978
A;504;1097;504;1116;518;1116;518;1097
B;1031;1287;1031;1314;1052;1314;1052;1287
A;450;1809;450;1809;450;1809;450;1809
A;618;1898;618;1900;620;1900;620;1898
C;1035;1951;1035;1981;1056;1981;1056;1951
B;678;2101;678;2119;692;2119;692;2101
A;714;2160;714;2172;722;2172;722;2160
A;964;2160;964;2172;971;2172;971;2160
B;546;2584;546;2601;556;2601;556;2584
A;591;2723;591;2740;600;2740;600;2723
