name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;435;0;321;3057;1042;3057;1134;0
header;235;172;235;210;1856;210;1856;172
A;1035;240;1035;267;1056;267;1056;240
A;507;349;507;353;508;353;508;349
B;1008;431;1008;447;1017;447;1017;431
A;674;522;674;537;682;537;682;522
A;449;656;449;675;462;675;462;656
B;1036;911;1036;938;1056;938;1056;911
A;669;1220;669;1232;677;1232;677;1220
A;643;1254;643;1270;652;1270;652;1254
B;648;1346;648;1362;657;1362;657;1346
C;1031;1585;1031;1612;1051;1612;1051;1585
A;774;1622;774;1638;782;1638;782;1622
A;399;1846;399;1861;407;1861;407;1846
B;699;1847;699;1865;713;1865;713;1847
B;884;1897;884;1912;893;1912;893;1897
D;1030;2262;1030;2290;1052;2290;1052;2262
A;665;2764;665;2779;673;2779;673;2764
B;733;2855;733;2870;742;2870;742;2855
A;538;2856;538;2870;546;2870;546;2856
B;458;2889;458;2904;467;2904;467;2889
