name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;424;0;630;3053;1055;3053;1032;0
header;197;116;197;157;1846;157;1846;116
A;1006;187;1006;215;1028;215;1028;187
A;481;288;481;304;489;304;489;288
A;847;513;847;531;861;531;861;513
B;494;610;494;626;503;626;503;610
A;977;650;977;666;985;666;985;650
A;875;743;875;759;883;759;883;743
B;1005;964;1005;991;1026;991;1026;964
A;763;1553;763;1568;773;1568;773;1553
C;1007;1633;1007;1662;1028;1662;1028;1633
A;606;1636;606;1636;606;1636;606;1636
A;571;1866;571;1868;573;1868;573;1866
A;767;1978;767;1994;775;1994;775;1978
B;981;2208;981;2227;995;2227;995;2208
D;1009;2302;1009;2330;1032;2330;1032;2302
B;635;2473;635;2488;645;2488;645;2473
A;1031;2807;1031;2821;1039;2821;1039;2807
A;791;2808;791;2822;800;2822;800;2808
A;906;2912;906;2912;906;2912;906;2912
