name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;856;0;879;3055;1683;3055;1660;0
header;79;152;79;187;1702;187;1702;152
A;881;228;881;255;899;255;899;228
A;1508;436;1508;436;1509;436;1509;436
A;1504;714;1504;714;1504;714;1504;714
A;1233;810;1233;812;1234;812;1234;810
B;1045;828;1045;843;1053;843;1053;828
A;1016;839;1016;844;1020;844;1020;839
A;1232;858;1232;858;1233;858;1233;858
B;881;886;881;914;900;914;900;886
A;897;1086;897;1086;899;1086;899;1086
A;1231;1086;1231;1086;1231;1086;1231;1086
A;906;1506;906;1507;906;1507;906;1506
B;1185;1557;1185;1573;1194;1573;1194;1557
C;882;1561;882;1590;903;1590;903;1561
A;1230;1585;1230;1586;1230;1586;1230;1585
B;1163;1740;1163;1756;1172;1756;1172;1740
A;902;1812;902;1814;904;1814;904;1812
A;901;1825;901;1828;904;1828;904;1825
A;1237;1907;1237;1910;1239;1910;1239;1907
B;1098;2103;1098;2119;1107;2119;1107;2103
A;1514;2129;1514;2131;1514;2131;1514;2129
A;1427;2174;1427;2176;1430;2176;1430;2174
A;1213;2193;1213;2209;1221;2209;1221;2193
B;1047;2194;1047;2210;1055;2210;1055;2194
A;1504;2221;1504;2223;1506;2223;1506;2221
D;887;2236;887;2263;909;2263;909;2236
B;1040;2240;1040;2256;1049;2256;1049;2240
B;1034;2285;1034;2300;1042;2300;1042;2285
A;905;2318;905;2318;906;2318;906;2318
A;1554;2355;1554;2359;1556;2359;1556;2355
A;904;2418;904;2419;904;2419;904;2418
A;1461;2790;1461;2791;1462;2791;1462;2790
A;905;2792;905;2793;911;2793;911;2792
B;1260;2814;1260;2829;1281;2829;1281;2814
B;932;2815;932;2830;953;2830;953;2815
D;1370;2822;1370;2846;1388;2846;1388;2822
A;1306;2861;1306;2865;1309;2865;1309;2861
A;1193;2874;1193;2874;1194;2874;1194;2874
A;1286;2883;1286;2887;1289;2887;1289;2883
A;1148;2884;1148;2885;1150;2885;1150;2884
