name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;541;0;701;3059;1048;3059;1071;0
header;208;153;208;192;1849;192;1849;153
A;1021;220;1021;247;1042;247;1042;220
D;724;355;724;380;754;380;754;355
B;698;363;698;379;706;379;706;363
B;1025;892;1025;919;1045;919;1045;892
B;837;1410;837;1426;846;1426;846;1410
B;995;1455;995;1472;1005;1472;1005;1455
C;1020;1563;1020;1594;1042;1594;1042;1563
B;731;1592;731;1611;745;1611;745;1592
C;909;1863;909;1882;924;1882;924;1863
A;719;2143;719;2148;724;2148;724;2143
D;1022;2242;1022;2267;1042;2267;1042;2242
A;827;2736;827;2763;833;2763;833;2736
B;790;2737;790;2752;811;2752;811;2737
