name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;443;0;673;3057;1049;3057;1049;0
header;257;48;257;181;1917;181;1917;48
B;616;424;616;441;629;441;629;424
A;539;664;539;669;544;669;544;664
B;903;697;903;712;911;712;911;697
A;722;832;722;837;728;837;728;832
B;964;922;964;938;972;938;972;922
B;728;1051;728;1076;743;1076;743;1051
C;970;1608;970;1627;984;1627;984;1608
D;732;1781;732;1815;759;1815;759;1781
A;650;1920;650;1945;669;1945;669;1920
A;1042;2301;1042;2305;1049;2305;1049;2301
D;642;2566;642;2583;653;2583;653;2566
A;1028;2574;1028;2578;1036;2578;1036;2574
B;827;2649;827;2675;841;2675;841;2649
B;1001;2661;1001;2676;1012;2676;1012;2661
B;884;2785;884;2811;905;2811;905;2785
A;1034;2795;1034;2812;1038;2812;1038;2795
