name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;347;0;347;3057;1011;3057;1034;0
header;199;41;199;146;1897;146;1897;41
A;993;180;993;208;1015;208;1015;180
A;784;197;784;210;791;210;791;197
A;369;277;369;282;375;282;375;277
B;991;859;991;886;1012;886;1012;859
B;619;869;619;887;633;887;633;869
C;984;1530;984;1563;1004;1563;1004;1530
D;983;2194;983;2221;1005;2221;1005;2194
B;836;2285;836;2304;849;2304;849;2285
A;597;2376;597;2392;606;2392;606;2376
B;466;2604;466;2623;480;2623;480;2604
D;799;2608;799;2624;807;2624;807;2608
A;545;2720;545;2747;555;2747;555;2720
A;477;2920;477;2920;477;2920;477;2920
