name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;929;0;998;3059;1858;3059;1904;0
header;244;119;244;168;1907;168;1907;119
A;1047;189;1047;217;1070;217;1070;189
A;1542;241;1542;257;1550;257;1550;241
B;1195;333;1195;349;1204;349;1204;333
A;1780;461;1780;485;1794;485;1794;461
A;1241;691;1241;715;1254;715;1254;691
A;1721;743;1721;748;1726;748;1726;743
B;1048;860;1048;888;1069;888;1069;860
A;1769;920;1769;944;1783;944;1783;920
A;1562;1156;1562;1163;1569;1163;1569;1156
C;1047;1526;1047;1554;1068;1554;1068;1526
A;1857;1751;1857;1775;1870;1775;1870;1751
A;1186;1876;1186;1878;1188;1878;1188;1876
A;1715;1941;1715;1948;1723;1948;1723;1941
D;1048;2198;1048;2225;1068;2225;1068;2198
A;1088;2255;1088;2270;1096;2270;1096;2255
A;1167;2302;1167;2317;1175;2317;1175;2302
B;1020;2442;1020;2458;1029;2458;1029;2442
A;1082;2477;1082;2501;1096;2501;1096;2477
B;1512;2535;1512;2551;1520;2551;1520;2535
A;1329;2799;1329;2800;1329;2800;1329;2799
B;1093;2806;1093;2832;1101;2832;1101;2806
A;1111;2807;1111;2832;1118;2832;1118;2807
D;1174;2808;1174;2822;1195;2822;1195;2808
B;1483;2812;1483;2827;1503;2827;1503;2812
B;1671;2812;1671;2838;1687;2838;1687;2812
B;1742;2813;1742;2829;1764;2829;1764;2813
A;1128;2827;1128;2833;1133;2833;1133;2827
B;1141;2842;1141;2857;1163;2857;1163;2842
B;1389;2844;1389;2860;1410;2860;1410;2844
A;1097;2862;1097;2868;1102;2868;1102;2862
